dllldddLLDllUlluuurRRRRRRRRRRRurDllllllldddlldlluUUddlluuurRRRRRRRRRRRdRRlUllllllldddlldlddlUUUUUddlluuurRRRRRRRRRRRRllllllldddllLdddrUUllUUUddlluuurRRRRRRRRRRRuRRlDllllllldddlLLdlUUUddlluuurRRRRRRRRRRRdRURlllllllllllllldlluRRRRRRRRRRRRRRRluR
Moves: 242
Pushes: 104
States created total: 40,238,458
Unique visited total: 8,552,878
Reached duplicates total: 31,292,378
Created but not reached total: 393,202

Depth          Created        Unique         Duplicates     Unknown (not reached)
184:           209,928        29,072         178,976        1,880
185:           207,783        29,016         176,265        2,502
186:           191,468        26,258         162,338        2,872
187:           188,842        26,017         158,730        4,095
188:           174,201        23,769         146,265        4,167
189:           171,970        23,354         143,361        5,255
190:           158,553        21,456         132,325        4,772
191:           155,901        20,813         129,118        5,970
192:           142,762        19,224         118,242        5,296
193:           140,000        18,507         114,761        6,732
194:           127,606        17,002         104,954        5,650
195:           124,381        16,365         101,162        6,854
196:           112,531        14,984         91,872         5,675
197:           108,882        14,238         88,214         6,430
198:           99,015         13,141         80,713         5,161
199:           94,708         12,135         76,488         6,085
200:           86,710         11,237         70,443         5,030
201:           82,524         10,193         65,963         6,368
202:           75,963         9,538          60,746         5,679
203:           72,681         8,455          56,861         7,365
204:           66,516         8,039          51,948         6,529
205:           64,616         7,026          49,474         8,116
206:           58,686         6,781          44,701         7,204
207:           57,487         5,880          43,380         8,227
208:           50,937         5,715          37,863         7,359
209:           50,303         4,876          37,281         8,146
210:           44,202         4,787          31,089         8,326
211:           42,700         4,050          29,922         8,728
212:           37,449         3,978          24,068         9,403
213:           35,335         3,345          22,724         9,266
214:           31,513         3,242          17,423         10,848
215:           28,963         2,753          15,912         10,298
216:           26,249         2,642          11,705         11,902
217:           23,171         2,245          10,283         10,643
218:           21,449         2,085          7,557          11,807
219:           18,530         1,766          6,592          10,172
220:           17,536         1,661          4,999          10,876
221:           14,879         1,386          4,222          9,271
222:           14,502         1,258          3,172          10,072
223:           12,160         1,075          2,594          8,491
224:           12,010         951            1,743          9,316
225:           9,964          703            1,221          8,040
226:           9,755          648            713            8,394
227:           7,868          444            431            6,993
228:           7,712          396            206            7,110
229:           5,753          292            86             5,375
230:           5,896          238            16             5,642
231:           4,050          172            34             3,844
232:           4,475          125            0              4,350
233:           2,921          81             6              2,834
234:           3,341          50             0              3,291
235:           1,933          43             0              1,890
236:           2,529          32             0              2,497
237:           1,279          22             2              1,255
238:           1,783          25             0              1,758
239:           847            13             6              828
240:           1,158          7              0              1,151
241:           613            2              12             599
242:           765            1              0              764
243:           434            0              0              434
244:           499            0              0              499
245:           286            0              0              286
246:           301            0              0              301
247:           162            0              0              162
248:           151            0              0              151
249:           63             0              0              63
250:           61             0              0              61
251:           30             0              0              30
252:           18             0              0              18
253:           2              0              0              2
254:           6              0              0              6

    ########
    #      #########
##### #### #@##  ..#
# $  $           ..#
#   # ### #####  ..#
### # ### #   ######
  #  $  $ #
  ###  $###
    #$  #
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $  $           ..#
#   # ### #####  ..#
### # ### #   ######
  #  $ $@ #
  ###  $###
    #$  #
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $  $           ..#
#   # ### #####  ..#
### # ### #   ######
  #  $$@  #
  ###  $###
    #$  #
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $  $           ..#
#   # ### #####  ..#
### # ### #   ######
  #  $$   #
  ###  @###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $  $           ..#
#   # ### #####  ..#
### #$### #   ######
  #  @$   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $  @$          ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $   @$         ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $    @$        ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $     @$       ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $      @$      ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $       @$     ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $        @$    ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $         @$   ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $          @$  ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $           @$ ..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $            @$..#
#   # ### #####  ..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $             @..#
#   # ### ##### $..#
### #$### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $              ..#
#   #$### ##### $..#
### #@### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $  $           ..#
#   #@### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $  @$          ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $   @$         ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $    @$        ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $     @$       ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $      @$      ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $       @$     ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $        @$    ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $         @$   ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $          @$  ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $           @$ ..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $            @$..#
#   # ### ##### $..#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $             $..#
#   # ### ##### @*.#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ##  ..#
# $             $..#
#   # ### #####  +*#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $             @..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #$ $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###$  ###
    #@ $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              ..#
#   # ### #####  .*#
### # ### #   ######
  #  $$   #
  ###@  ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              ..#
#   # ### #####  .*#
### #$### #   ######
  #  @$   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              ..#
#   #$### #####  .*#
### #@### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $  $           ..#
#   #@### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $  @$          ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $   @$         ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $    @$        ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $     @$       ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $      @$      ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $       @$     ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $        @$    ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $         @$   ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $          @$  ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $           @$ ..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $            @$..#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $             @*.#
#   # ### #####  .*#
### # ### #   ######
  #   $   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              *.#
#   # ### #####  .*#
### # ### #   ######
  #  $@   #
  ###   ###
    #  $#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              *.#
#   # ### #####  .*#
### # ### #   ######
  #  $    #
  ###  $###
    #  @#
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              *.#
#   # ### #####  .*#
### # ### #   ######
  #  $ $  #
  ###  @###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              *.#
#   # ### #####  .*#
### #$### #   ######
  #  @ $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $              *.#
#   #$### #####  .*#
### #@### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $  $           *.#
#   #@### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $  @$          *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $   @$         *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $    @$        *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $     @$       *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $      @$      *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $       @$     *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $        @$    *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $         @$   *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $          @$  *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $           @$ *.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## $..#
# $            @$*.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ## @*.#
# $             $*.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

