Moves: 34
States created total: 6,128
Unique visited total: 2,454
Reached duplicates total: 3,212
Created but not reached total: 462

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             4              2              2              0
3:             6              6              0              0
4:             13             8              5              0
5:             22             14             8              0
6:             32             14             18             0
7:             34             16             18             0
8:             38             19             19             0
9:             48             22             26             0
10:            49             18             31             0
11:            46             20             26             0
12:            47             22             25             0
13:            53             23             30             0
14:            55             28             27             0
15:            66             36             30             0
16:            86             47             39             0
17:            115            63             52             0
18:            154            84             70             0
19:            210            112            98             0
20:            274            134            140            0
21:            340            165            175            0
22:            403            183            220            0
23:            459            206            253            0
24:            513            210            303            0
25:            536            218            314            4
26:            533            201            326            6
27:            530            200            291            39
28:            500            161            290            49
29:            426            123            191            112
30:            299            61             137            101
31:            158            27             41             90
32:            58             6              7              45
33:            15             1              0              14
34:            3              1              0              2
