Moves: 79
States created total: 207,291
Unique visited total: 82,861
Reached duplicates total: 116,382
Created but not reached total: 8,048

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             5              2              3              0
3:             6              3              3              0
4:             9              8              1              0
5:             22             12             10             0
6:             28             12             16             0
7:             29             12             17             0
8:             28             14             14             0
9:             34             17             17             0
10:            40             17             23             0
11:            44             25             19             0
12:            62             37             25             0
13:            82             47             35             0
14:            120            73             47             0
15:            174            86             88             0
16:            222            111            111            0
17:            263            121            142            0
18:            311            144            167            0
19:            348            144            204            0
20:            356            154            202            0
21:            377            159            218            0
22:            394            175            219            0
23:            432            182            250            0
24:            440            198            242            0
25:            488            225            263            0
26:            562            266            296            0
27:            647            287            360            0
28:            711            321            390            0
29:            788            364            424            0
30:            899            421            478            0
31:            1,041          488            553            0
32:            1,201          538            663            0
33:            1,357          629            728            0
34:            1,546          681            865            0
35:            1,727          782            945            0
36:            1,905          811            1,094          0
37:            2,068          914            1,154          0
38:            2,230          957            1,273          0
39:            2,414          1,072          1,342          0
40:            2,613          1,130          1,483          0
41:            2,844          1,253          1,591          0
42:            3,044          1,300          1,744          0
43:            3,242          1,425          1,817          0
44:            3,480          1,505          1,975          0
45:            3,777          1,649          2,128          0
46:            4,042          1,709          2,333          0
47:            4,290          1,855          2,435          0
48:            4,533          1,886          2,647          0
49:            4,755          2,010          2,745          0
50:            4,948          2,077          2,871          0
51:            5,214          2,207          3,007          0
52:            5,491          2,338          3,153          0
53:            5,884          2,481          3,403          0
54:            6,195          2,575          3,620          0
55:            6,460          2,664          3,796          0
56:            6,651          2,729          3,922          0
57:            6,884          2,808          4,076          0
58:            6,967          2,785          4,182          0
59:            7,076          2,873          4,203          0
60:            7,128          2,842          4,282          4
61:            7,214          2,913          4,294          7
62:            7,304          2,968          4,325          11
63:            7,484          3,043          4,419          22
64:            7,620          3,032          4,494          94
65:            7,694          3,045          4,446          203
66:            7,602          2,814          4,347          441
67:            7,139          2,572          3,915          652
68:            6,392          2,141          3,403          848
69:            5,436          1,824          2,731          881
70:            4,582          1,374          2,148          1,060
71:            3,524          1,008          1,464          1,052
72:            2,542          649            979            914
73:            1,657          436            544            677
74:            1,114          244            340            530
75:            609            124            144            341
76:            296            40             63             193
77:            111            16             11             84
78:            31             4              1              26
79:            9              1              0              8
