Pushes: 32
States created total: 347,035
Unique visited total: 67,676
Reached duplicates total: 228,263
Created but not reached total: 51,096

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             6              6              0              0
2:             35             34             1              0
3:             209            118            91             0
4:             737            303            434            0
5:             1,822          619            1,203          0
6:             3,671          1,095          2,576          0
7:             6,292          1,736          4,556          0
8:             9,863          2,609          7,254          0
9:             14,558         3,732          10,826         0
10:            20,458         5,143          15,212         103
11:            27,240         6,519          20,134         587
12:            33,941         7,371          24,341         2,229
13:            37,356         7,202          25,724         4,430
14:            36,274         6,505          24,187         5,582
15:            32,348         5,559          21,021         5,768
16:            27,945         4,636          17,592         5,717
17:            23,060         3,800          14,295         4,965
18:            19,038         3,065          11,628         4,345
19:            15,466         2,363          9,228          3,875
20:            12,059         1,774          6,900          3,385
21:            8,811          1,281          4,747          2,783
22:            6,164          878            3,086          2,200
23:            4,031          556            1,735          1,740
24:            2,495          319            847            1,329
25:            1,380          186            368            826
26:            803            109            143            551
27:            428            69             63             296
28:            268            43             39             186
29:            147            26             18             103
30:            86             14             10             62
31:            35             4              4              27
32:            8              1              0              7
