Pushes: 27
States created total: 14,459
Unique visited total: 4,245
Reached duplicates total: 7,842
Created but not reached total: 2,372

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             1              1              0              0
2:             1              1              0              0
3:             3              3              0              0
4:             9              9              0              0
5:             29             25             4              0
6:             65             46             19             0
7:             131            84             47             0
8:             279            152            127            0
9:             517            236            277            4
10:            743            291            439            13
11:            834            310            488            36
12:            832            269            470            93
13:            788            258            420            110
14:            775            284            415            76
15:            915            384            462            69
16:            1,416          462            789            165
17:            1,953          465            1,095          393
18:            1,783          356            983            444
19:            1,403          264            792            347
20:            925            162            515            248
21:            544            92             279            173
22:            270            47             121            102
23:            144            23             65             56
24:            62             12             23             27
25:            30             6              11             13
26:            5              1              1              3
27:            1              1              0              0
