Pushes: 24
States created total: 18,806
Unique visited total: 5,823
Reached duplicates total: 7,420
Created but not reached total: 5,563

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             4              4              0              0
2:             11             11             0              0
3:             34             24             10             0
4:             74             50             24             0
5:             135            78             57             0
6:             205            102            94             9
7:             233            121            101            11
8:             287            151            111            25
9:             438            243            170            25
10:            832            391            380            61
11:            1,402          538            644            220
12:            1,824          678            761            385
13:            2,208          767            894            547
14:            2,469          746            1,003          720
15:            2,467          652            1,019          796
16:            2,187          507            858            822
17:            1,694          343            602            749
18:            1,109          221            361            527
19:            678            117            218            343
20:            337            50             85             202
21:            126            19             20             87
22:            37             6              6              25
23:            12             2              2              8
24:            2              1              0              1
