Pushes: 25
States created total: 275,797
Unique visited total: 53,815
Reached duplicates total: 104,665
Created but not reached total: 117,317

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             5              5              0              0
2:             17             17             0              0
3:             63             41             22             0
4:             157            89             68             0
5:             326            170            156            0
6:             655            331            311            13
7:             1,328          635            592            101
8:             2,649          1,136          1,125          388
9:             4,889          1,729          1,854          1,306
10:            7,466          2,345          2,767          2,354
11:            10,231         2,806          3,817          3,608
12:            12,189         2,906          4,249          5,034
13:            12,575         3,037          4,230          5,308
14:            14,017         3,866          5,184          4,967
15:            20,251         5,498          8,226          6,527
16:            31,254         7,129          12,514         11,611
17:            41,126         7,601          16,566         16,959
18:            43,886         6,566          17,316         20,004
19:            35,931         4,358          13,321         18,252
20:            22,214         2,327          7,967          11,920
21:            10,377         901            3,299          6,177
22:            3,344          261            920            2,163
23:            732            55             160            517
24:            110            4              1              105
25:            4              1              0              3
