Pushes: 21
States created total: 183,415
Unique visited total: 38,017
Reached duplicates total: 84,568
Created but not reached total: 60,830

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             4              4              0              0
2:             13             13             0              0
3:             50             41             9              0
4:             208            123            85             0
5:             680            316            364            0
6:             1,680          671            1,009          0
7:             3,515          1,305          2,208          2
8:             6,752          2,356          4,265          131
9:             12,532         3,881          7,850          801
10:            20,554         5,367          12,447         2,740
11:            27,663         5,970          15,283         6,410
12:            29,189         5,384          13,973         9,832
13:            25,468         4,310          10,172         10,986
14:            20,108         3,265          6,955          9,888
15:            15,453         2,424          4,755          8,274
16:            10,705         1,603          3,064          6,038
17:            6,192          747            1,598          3,847
18:            2,171          209            461            1,501
19:            442            25             68             349
20:            33             1              2              30
21:            2              1              0              1
